OBS_ASOS_DD_20250622210229
OBS_ASOS_DD_20250622210229,,,,,,,,,
지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr)
108,서울,2023-08-18,29.1,25.5,33.3,0.1,1.9,72.1,7.3
108,서울,2023-08-19,29.1,26.4,33.6,,1.9,68.9,9.1
108,서울,2023-08-20,28.3,25.5,31.8,0,1.6,71.8,3.6
108,서울,2023-08-21,29.5,26,33.6,0,2.4,69.8,6.4
108,서울,2023-08-22,27.6,25.8,32.2,42.6,2.4,80.3,1.3
108,서울,2023-08-23,24.8,23.2,27.2,41.8,2.2,91.3,0.1
108,서울,2023-08-24,25.1,22.3,27.8,5.2,2.8,84.8,1.5
108,서울,2023-08-25,26.5,24,30,0,2.6,77.9,8.3
108,서울,2023-08-26,26.4,23.3,30.3,,1.8,72.3,7.3
108,서울,2023-08-27,26.1,22.7,29.6,0,1.8,75,1.2
108,서울,2023-08-28,22.7,20.8,25.6,10.4,3.3,87.5,0
108,서울,2023-08-29,23.9,22.5,25.5,54.8,2.1,89.6,0
108,서울,2023-08-30,22.8,21.5,24.5,3.5,1.1,88,0
108,서울,2023-08-31,23.9,21,28.9,,1.3,76.9,7
